filename,keyType,keyConst,cipherSymbols,textLength,accuracy,correct
pt_2000_10_keyFreq_1_0.3_dorianGray.txt,FREQ,0.3,44,2000,42.4,NO
pt_2000_10_keyFreq_2_0.6_dorianGray.txt,FREQ,0.6,75,2000,41.1,NO
pt_2000_10_keyFreq_3_0.8999999999999999_dorianGray.txt,FREQ,0.8999999999999999,105,2000,41.8,NO
pt_2000_10_keyFreq_4_1.2_dorianGray.txt,FREQ,1.2,135,2000,40.9,NO
pt_2000_1_keyFreq_1_0.3_dorianGray.txt,FREQ,0.3,42,2004,42.1,NO
pt_2000_1_keyFreq_2_0.6_dorianGray.txt,FREQ,0.6,73,2004,41.0,NO
pt_2000_1_keyFreq_3_0.8999999999999999_dorianGray.txt,FREQ,0.8999999999999999,103,2004,40.0,NO
pt_2000_1_keyFreq_4_1.2_dorianGray.txt,FREQ,1.2,133,2004,38.3,NO
pt_2000_2_keyFreq_1_0.3_dorianGray.txt,FREQ,0.3,41,2003,37.0,NO
pt_2000_2_keyFreq_2_0.6_dorianGray.txt,FREQ,0.6,72,2003,38.0,NO
pt_2000_2_keyFreq_3_0.8999999999999999_dorianGray.txt,FREQ,0.8999999999999999,102,2003,38.0,NO
pt_2000_2_keyFreq_4_1.2_dorianGray.txt,FREQ,1.2,132,2003,31.8,NO
pt_2000_3_keyFreq_1_0.3_dorianGray.txt,FREQ,0.3,43,2000,43.8,NO
pt_2000_3_keyFreq_2_0.6_dorianGray.txt,FREQ,0.6,74,2000,44.1,NO
pt_2000_3_keyFreq_3_0.8999999999999999_dorianGray.txt,FREQ,0.8999999999999999,104,2000,41.6,NO
pt_2000_3_keyFreq_4_1.2_dorianGray.txt,FREQ,1.2,134,2000,39.7,NO
pt_2000_4_keyFreq_1_0.3_dorianGray.txt,FREQ,0.3,43,2002,45.0,NO
pt_2000_4_keyFreq_2_0.6_dorianGray.txt,FREQ,0.6,74,2002,47.1,NO
pt_2000_4_keyFreq_3_0.8999999999999999_dorianGray.txt,FREQ,0.8999999999999999,104,2002,43.8,NO
pt_2000_4_keyFreq_4_1.2_dorianGray.txt,FREQ,1.2,134,2002,41.8,NO
pt_2000_5_keyFreq_1_0.3_dorianGray.txt,FREQ,0.3,44,2006,40.0,NO
pt_2000_5_keyFreq_2_0.6_dorianGray.txt,FREQ,0.6,75,2006,38.7,NO
pt_2000_5_keyFreq_3_0.8999999999999999_dorianGray.txt,FREQ,0.8999999999999999,105,2006,37.4,NO
pt_2000_5_keyFreq_4_1.2_dorianGray.txt,FREQ,1.2,135,2006,32.5,NO
pt_2000_6_keyFreq_1_0.3_dorianGray.txt,FREQ,0.3,43,2002,41.0,NO
pt_2000_6_keyFreq_2_0.6_dorianGray.txt,FREQ,0.6,74,2002,39.6,NO
pt_2000_6_keyFreq_3_0.8999999999999999_dorianGray.txt,FREQ,0.8999999999999999,104,2002,38.0,NO
pt_2000_6_keyFreq_4_1.2_dorianGray.txt,FREQ,1.2,134,2002,38.1,NO
pt_2000_7_keyFreq_1_0.3_dorianGray.txt,FREQ,0.3,43,2000,36.5,NO
pt_2000_7_keyFreq_2_0.6_dorianGray.txt,FREQ,0.6,74,2000,39.2,NO
pt_2000_7_keyFreq_3_0.8999999999999999_dorianGray.txt,FREQ,0.8999999999999999,104,2000,36.2,NO
pt_2000_7_keyFreq_4_1.2_dorianGray.txt,FREQ,1.2,134,2000,35.2,NO
pt_2000_8_keyFreq_1_0.3_dorianGray.txt,FREQ,0.3,43,2001,39.1,NO
pt_2000_8_keyFreq_2_0.6_dorianGray.txt,FREQ,0.6,74,2001,40.1,NO
pt_2000_8_keyFreq_3_0.8999999999999999_dorianGray.txt,FREQ,0.8999999999999999,104,2001,31.8,NO
pt_2000_8_keyFreq_4_1.2_dorianGray.txt,FREQ,1.2,134,2001,36.7,NO
pt_2000_9_keyFreq_1_0.3_dorianGray.txt,FREQ,0.3,44,2003,35.9,NO
pt_2000_9_keyFreq_2_0.6_dorianGray.txt,FREQ,0.6,75,2003,36.1,NO
pt_2000_9_keyFreq_3_0.8999999999999999_dorianGray.txt,FREQ,0.8999999999999999,105,2003,32.1,NO
pt_2000_9_keyFreq_4_1.2_dorianGray.txt,FREQ,1.2,135,2003,30.7,NO
pt_2000_10_keyFreq_1_0.3_frankenstein.txt,FREQ,0.3,43,2003,42.6,NO
pt_2000_10_keyFreq_2_0.6_frankenstein.txt,FREQ,0.6,74,2003,46.3,NO
