filename,keyType,keyConst,cipherSymbols,textLength,accuracy,correct
pt_1000_10_keyFix_1_2_dorianGray.txt,FIXED,2.0,48,1000,84.1,YES
pt_1000_10_keyFix_2_3_dorianGray.txt,FIXED,3.0,71,1000,76.5,NO
pt_1000_10_keyFix_3_4_dorianGray.txt,FIXED,4.0,92,1000,49.3,NO
pt_1000_10_keyFix_4_5_dorianGray.txt,FIXED,5.0,113,1000,48.0,NO
pt_1000_1_keyFix_1_2_dorianGray.txt,FIXED,2.0,46,1006,98.7,YES
pt_1000_1_keyFix_2_3_dorianGray.txt,FIXED,3.0,68,1006,88.0,YES
pt_1000_1_keyFix_3_4_dorianGray.txt,FIXED,4.0,90,1006,75.9,NO
pt_1000_1_keyFix_4_5_dorianGray.txt,FIXED,5.0,107,1006,53.8,NO
pt_1000_2_keyFix_1_2_dorianGray.txt,FIXED,2.0,48,1000,89.6,YES
pt_1000_2_keyFix_2_3_dorianGray.txt,FIXED,3.0,69,1000,61.6,NO
pt_1000_2_keyFix_3_4_dorianGray.txt,FIXED,4.0,92,1000,43.6,NO
pt_1000_2_keyFix_4_5_dorianGray.txt,FIXED,5.0,109,1000,43.1,NO
pt_1000_3_keyFix_1_2_dorianGray.txt,FIXED,2.0,46,1002,98.9,YES
pt_1000_3_keyFix_2_3_dorianGray.txt,FIXED,3.0,68,1002,63.0,NO
pt_1000_3_keyFix_3_4_dorianGray.txt,FIXED,4.0,89,1002,67.1,NO
pt_1000_3_keyFix_4_5_dorianGray.txt,FIXED,5.0,110,1002,52.0,NO
pt_1000_4_keyFix_1_2_dorianGray.txt,FIXED,2.0,46,1003,97.1,YES
pt_1000_4_keyFix_2_3_dorianGray.txt,FIXED,3.0,67,1003,89.5,YES
pt_1000_4_keyFix_3_4_dorianGray.txt,FIXED,4.0,88,1003,49.8,NO
pt_1000_4_keyFix_4_5_dorianGray.txt,FIXED,5.0,109,1003,55.0,NO
pt_1000_5_keyFix_1_2_dorianGray.txt,FIXED,2.0,48,1001,92.0,YES
pt_1000_5_keyFix_2_3_dorianGray.txt,FIXED,3.0,71,1001,45.4,NO
pt_1000_5_keyFix_3_4_dorianGray.txt,FIXED,4.0,90,1001,45.1,NO
pt_1000_5_keyFix_4_5_dorianGray.txt,FIXED,5.0,114,1001,40.7,NO
pt_1000_6_keyFix_1_2_dorianGray.txt,FIXED,2.0,45,1005,94.9,YES
pt_1000_6_keyFix_2_3_dorianGray.txt,FIXED,3.0,67,1005,84.7,YES
pt_1000_6_keyFix_3_4_dorianGray.txt,FIXED,4.0,87,1005,48.5,NO
pt_1000_6_keyFix_4_5_dorianGray.txt,FIXED,5.0,107,1005,50.0,NO
pt_1000_7_keyFix_1_2_dorianGray.txt,FIXED,2.0,44,1001,93.7,YES
pt_1000_7_keyFix_2_3_dorianGray.txt,FIXED,3.0,65,1001,92.2,YES
pt_1000_7_keyFix_3_4_dorianGray.txt,FIXED,4.0,85,1001,58.3,NO
pt_1000_7_keyFix_4_5_dorianGray.txt,FIXED,5.0,106,1001,47.3,NO
pt_1000_8_keyFix_1_2_dorianGray.txt,FIXED,2.0,46,1000,95.6,YES
pt_1000_8_keyFix_2_3_dorianGray.txt,FIXED,3.0,66,1000,87.1,YES
pt_1000_8_keyFix_3_4_dorianGray.txt,FIXED,4.0,88,1000,69.0,NO
pt_1000_8_keyFix_4_5_dorianGray.txt,FIXED,5.0,108,1000,57.4,NO
pt_1000_9_keyFix_1_2_dorianGray.txt,FIXED,2.0,49,1000,81.2,YES
pt_1000_9_keyFix_2_3_dorianGray.txt,FIXED,3.0,72,1000,76.8,NO
pt_1000_9_keyFix_3_4_dorianGray.txt,FIXED,4.0,93,1000,52.6,NO
pt_1000_9_keyFix_4_5_dorianGray.txt,FIXED,5.0,113,1000,41.8,NO
pt_1000_10_keyFix_1_2_frankenstein.txt,FIXED,2.0,49,1001,97.2,YES
pt_1000_10_keyFix_2_3_frankenstein.txt,FIXED,3.0,71,1001,91.5,YES
pt_1000_10_keyFix_3_4_frankenstein.txt,FIXED,4.0,92,1001,87.3,YES
pt_1000_10_keyFix_4_5_frankenstein.txt,FIXED,5.0,112,1001,73.5,NO
pt_1000_1_keyFix_1_2_frankenstein.txt,FIXED,2.0,49,1000,78.7,NO
pt_1000_1_keyFix_2_3_frankenstein.txt,FIXED,3.0,71,1000,75.9,NO
pt_1000_1_keyFix_3_4_frankenstein.txt,FIXED,4.0,92,1000,46.8,NO
pt_1000_1_keyFix_4_5_frankenstein.txt,FIXED,5.0,110,1000,49.6,NO
pt_1000_2_keyFix_1_2_frankenstein.txt,FIXED,2.0,48,998,93.4,YES
pt_1000_2_keyFix_2_3_frankenstein.txt,FIXED,3.0,70,998,87.7,YES
pt_1000_2_keyFix_3_4_frankenstein.txt,FIXED,4.0,92,998,70.2,NO
pt_1000_2_keyFix_4_5_frankenstein.txt,FIXED,5.0,112,998,67.4,NO
pt_1000_3_keyFix_1_2_frankenstein.txt,FIXED,2.0,48,1000,92.6,YES
