filename,keyType,keyConst,cipherSymbols,textLength,accuracy,correct
pt_100_10_keyFix_1_2_dorianGray.txt,FIXED,2.0,36,102,35.3,NO
pt_100_10_keyFix_2_3_dorianGray.txt,FIXED,3.0,44,102,15.7,NO
pt_100_10_keyFix_3_4_dorianGray.txt,FIXED,4.0,58,102,24.5,NO
pt_100_10_keyFix_4_5_dorianGray.txt,FIXED,5.0,59,102,11.8,NO
pt_100_1_keyFix_1_2_dorianGray.txt,FIXED,2.0,36,102,19.6,NO
pt_100_1_keyFix_2_3_dorianGray.txt,FIXED,3.0,45,102,30.4,NO
pt_100_1_keyFix_3_4_dorianGray.txt,FIXED,4.0,52,102,14.7,NO
pt_100_1_keyFix_4_5_dorianGray.txt,FIXED,5.0,61,102,14.7,NO
pt_100_2_keyFix_1_2_dorianGray.txt,FIXED,2.0,40,100,19.0,NO
pt_100_2_keyFix_2_3_dorianGray.txt,FIXED,3.0,44,100,24.0,NO
pt_100_2_keyFix_3_4_dorianGray.txt,FIXED,4.0,49,100,5.0,NO
pt_100_2_keyFix_4_5_dorianGray.txt,FIXED,5.0,58,100,7.0,NO
pt_100_3_keyFix_1_2_dorianGray.txt,FIXED,2.0,37,101,17.8,NO
pt_100_3_keyFix_2_3_dorianGray.txt,FIXED,3.0,45,101,15.8,NO
pt_100_3_keyFix_3_4_dorianGray.txt,FIXED,4.0,54,101,6.9,NO
pt_100_3_keyFix_4_5_dorianGray.txt,FIXED,5.0,60,101,10.9,NO
pt_100_4_keyFix_1_2_dorianGray.txt,FIXED,2.0,34,104,51.0,NO
pt_100_4_keyFix_2_3_dorianGray.txt,FIXED,3.0,49,104,1.9,NO
pt_100_4_keyFix_3_4_dorianGray.txt,FIXED,4.0,56,104,6.7,NO
pt_100_4_keyFix_4_5_dorianGray.txt,FIXED,5.0,69,104,3.8,NO
pt_100_5_keyFix_1_2_dorianGray.txt,FIXED,2.0,35,103,84.5,YES
pt_100_5_keyFix_2_3_dorianGray.txt,FIXED,3.0,45,103,44.7,NO
pt_100_5_keyFix_3_4_dorianGray.txt,FIXED,4.0,53,103,19.4,NO
pt_100_5_keyFix_4_5_dorianGray.txt,FIXED,5.0,56,103,16.5,NO
pt_100_6_keyFix_1_2_dorianGray.txt,FIXED,2.0,36,102,5.9,NO
pt_100_6_keyFix_2_3_dorianGray.txt,FIXED,3.0,47,102,8.8,NO
pt_100_6_keyFix_3_4_dorianGray.txt,FIXED,4.0,50,102,3.9,NO
pt_100_6_keyFix_4_5_dorianGray.txt,FIXED,5.0,62,102,7.8,NO
pt_100_7_keyFix_1_2_dorianGray.txt,FIXED,2.0,34,100,84.0,YES
pt_100_7_keyFix_2_3_dorianGray.txt,FIXED,3.0,45,100,43.0,NO
pt_100_7_keyFix_3_4_dorianGray.txt,FIXED,4.0,51,100,48.0,NO
pt_100_7_keyFix_4_5_dorianGray.txt,FIXED,5.0,57,100,13.0,NO
pt_100_8_keyFix_1_2_dorianGray.txt,FIXED,2.0,36,105,80.0,YES
pt_100_8_keyFix_2_3_dorianGray.txt,FIXED,3.0,49,105,26.7,NO
pt_100_8_keyFix_3_4_dorianGray.txt,FIXED,4.0,59,105,19.0,NO
pt_100_8_keyFix_4_5_dorianGray.txt,FIXED,5.0,61,105,11.4,NO
pt_100_9_keyFix_1_2_dorianGray.txt,FIXED,2.0,38,103,52.4,NO
pt_100_9_keyFix_2_3_dorianGray.txt,FIXED,3.0,48,103,8.7,NO
pt_100_9_keyFix_3_4_dorianGray.txt,FIXED,4.0,56,103,24.3,NO
pt_100_9_keyFix_4_5_dorianGray.txt,FIXED,5.0,61,103,6.8,NO
pt_100_10_keyFix_1_2_frankenstein.txt,FIXED,2.0,35,101,8.9,NO
pt_100_10_keyFix_2_3_frankenstein.txt,FIXED,3.0,46,101,22.8,NO
pt_100_10_keyFix_3_4_frankenstein.txt,FIXED,4.0,46,101,9.9,NO
pt_100_10_keyFix_4_5_frankenstein.txt,FIXED,5.0,62,101,13.9,NO
pt_100_1_keyFix_1_2_frankenstein.txt,FIXED,2.0,35,102,44.1,NO
pt_100_1_keyFix_2_3_frankenstein.txt,FIXED,3.0,45,102,14.7,NO
pt_100_1_keyFix_3_4_frankenstein.txt,FIXED,4.0,54,102,8.8,NO
pt_100_1_keyFix_4_5_frankenstein.txt,FIXED,5.0,53,102,9.8,NO
pt_100_2_keyFix_1_2_frankenstein.txt,FIXED,2.0,37,101,30.7,NO
pt_100_2_keyFix_2_3_frankenstein.txt,FIXED,3.0,46,101,9.9,NO
pt_100_2_keyFix_3_4_frankenstein.txt,FIXED,4.0,56,101,8.9,NO
pt_100_2_keyFix_4_5_frankenstein.txt,FIXED,5.0,61,101,15.8,NO
pt_100_3_keyFix_1_2_frankenstein.txt,FIXED,2.0,38,102,28.4,NO
pt_100_3_keyFix_2_3_frankenstein.txt,FIXED,3.0,45,102,16.7,NO
pt_100_3_keyFix_3_4_frankenstein.txt,FIXED,4.0,55,102,30.4,NO
pt_100_3_keyFix_4_5_frankenstein.txt,FIXED,5.0,56,102,6.9,NO
pt_100_4_keyFix_1_2_frankenstein.txt,FIXED,2.0,37,107,82.2,YES
pt_100_4_keyFix_2_3_frankenstein.txt,FIXED,3.0,47,107,60.7,NO
pt_100_4_keyFix_3_4_frankenstein.txt,FIXED,4.0,57,107,38.3,NO
pt_100_4_keyFix_4_5_frankenstein.txt,FIXED,5.0,62,107,7.5,NO
pt_100_5_keyFix_1_2_frankenstein.txt,FIXED,2.0,35,100,79.0,NO
pt_100_5_keyFix_2_3_frankenstein.txt,FIXED,3.0,46,100,65.0,NO
pt_100_5_keyFix_3_4_frankenstein.txt,FIXED,4.0,52,100,10.0,NO
pt_100_5_keyFix_4_5_frankenstein.txt,FIXED,5.0,57,100,28.0,NO
pt_100_6_keyFix_1_2_frankenstein.txt,FIXED,2.0,36,103,8.7,NO
pt_100_6_keyFix_2_3_frankenstein.txt,FIXED,3.0,48,103,26.2,NO
pt_100_6_keyFix_3_4_frankenstein.txt,FIXED,4.0,55,103,18.4,NO
pt_100_6_keyFix_4_5_frankenstein.txt,FIXED,5.0,58,103,10.7,NO
pt_100_7_keyFix_1_2_frankenstein.txt,FIXED,2.0,36,104,81.7,YES
pt_100_7_keyFix_2_3_frankenstein.txt,FIXED,3.0,47,104,38.5,NO
pt_100_7_keyFix_3_4_frankenstein.txt,FIXED,4.0,57,104,35.6,NO
pt_100_7_keyFix_4_5_frankenstein.txt,FIXED,5.0,60,104,23.1,NO
pt_100_8_keyFix_1_2_frankenstein.txt,FIXED,2.0,31,106,70.8,NO
pt_100_8_keyFix_2_3_frankenstein.txt,FIXED,3.0,45,106,61.3,NO
pt_100_8_keyFix_3_4_frankenstein.txt,FIXED,4.0,46,106,13.2,NO
pt_100_8_keyFix_4_5_frankenstein.txt,FIXED,5.0,54,106,5.7,NO
pt_100_9_keyFix_1_2_frankenstein.txt,FIXED,2.0,35,103,62.1,NO
pt_100_9_keyFix_2_3_frankenstein.txt,FIXED,3.0,46,103,6.8,NO
pt_100_9_keyFix_3_4_frankenstein.txt,FIXED,4.0,53,103,32.0,NO
pt_100_9_keyFix_4_5_frankenstein.txt,FIXED,5.0,58,103,20.4,NO
pt_100_10_keyFix_1_2_greatGatsby.txt,FIXED,2.0,35,103,51.5,NO
pt_100_10_keyFix_2_3_greatGatsby.txt,FIXED,3.0,46,103,29.1,NO
pt_100_10_keyFix_3_4_greatGatsby.txt,FIXED,4.0,59,103,10.7,NO
pt_100_10_keyFix_4_5_greatGatsby.txt,FIXED,5.0,64,103,5.8,NO
pt_100_1_keyFix_1_2_greatGatsby.txt,FIXED,2.0,37,100,41.0,NO
pt_100_1_keyFix_2_3_greatGatsby.txt,FIXED,3.0,46,100,31.0,NO
pt_100_1_keyFix_3_4_greatGatsby.txt,FIXED,4.0,52,100,33.0,NO
pt_100_1_keyFix_4_5_greatGatsby.txt,FIXED,5.0,56,100,6.0,NO
pt_100_2_keyFix_1_2_greatGatsby.txt,FIXED,2.0,34,100,20.0,NO
pt_100_2_keyFix_2_3_greatGatsby.txt,FIXED,3.0,41,100,26.0,NO
pt_100_2_keyFix_3_4_greatGatsby.txt,FIXED,4.0,56,100,11.0,NO
pt_100_2_keyFix_4_5_greatGatsby.txt,FIXED,5.0,54,100,11.0,NO
pt_100_3_keyFix_1_2_greatGatsby.txt,FIXED,2.0,34,100,64.0,NO
pt_100_3_keyFix_2_3_greatGatsby.txt,FIXED,3.0,43,100,43.0,NO
pt_100_3_keyFix_3_4_greatGatsby.txt,FIXED,4.0,48,100,22.0,NO
pt_100_3_keyFix_4_5_greatGatsby.txt,FIXED,5.0,57,100,28.0,NO
pt_100_4_keyFix_1_2_greatGatsby.txt,FIXED,2.0,34,106,25.5,NO
pt_100_4_keyFix_2_3_greatGatsby.txt,FIXED,3.0,45,106,10.4,NO
pt_100_4_keyFix_3_4_greatGatsby.txt,FIXED,4.0,54,106,22.6,NO
pt_100_4_keyFix_4_5_greatGatsby.txt,FIXED,5.0,58,106,17.0,NO
pt_100_5_keyFix_1_2_greatGatsby.txt,FIXED,2.0,36,100,17.0,NO
pt_100_5_keyFix_2_3_greatGatsby.txt,FIXED,3.0,45,100,5.0,NO
pt_100_5_keyFix_3_4_greatGatsby.txt,FIXED,4.0,60,100,7.0,NO
pt_100_5_keyFix_4_5_greatGatsby.txt,FIXED,5.0,65,100,5.0,NO
pt_100_6_keyFix_1_2_greatGatsby.txt,FIXED,2.0,34,100,30.0,NO
pt_100_6_keyFix_2_3_greatGatsby.txt,FIXED,3.0,48,100,14.0,NO
pt_100_6_keyFix_3_4_greatGatsby.txt,FIXED,4.0,49,100,5.0,NO
pt_100_6_keyFix_4_5_greatGatsby.txt,FIXED,5.0,57,100,7.0,NO
pt_100_7_keyFix_1_2_greatGatsby.txt,FIXED,2.0,36,102,75.5,NO
pt_100_7_keyFix_2_3_greatGatsby.txt,FIXED,3.0,47,102,14.7,NO
pt_100_7_keyFix_3_4_greatGatsby.txt,FIXED,4.0,59,102,6.9,NO
pt_100_7_keyFix_4_5_greatGatsby.txt,FIXED,5.0,61,102,17.6,NO
pt_100_8_keyFix_1_2_greatGatsby.txt,FIXED,2.0,34,108,8.3,NO
pt_100_8_keyFix_2_3_greatGatsby.txt,FIXED,3.0,47,108,52.8,NO
pt_100_8_keyFix_3_4_greatGatsby.txt,FIXED,4.0,53,108,7.4,NO
pt_100_8_keyFix_4_5_greatGatsby.txt,FIXED,5.0,57,108,8.3,NO
pt_100_9_keyFix_1_2_greatGatsby.txt,FIXED,2.0,36,100,39.0,NO
pt_100_9_keyFix_2_3_greatGatsby.txt,FIXED,3.0,42,100,20.0,NO
