filename,keyType,keyConst,cipherSymbols,textLength,accuracy,correct
pt_250_10_keyFix_1_2_dorianGray.txt,FIXED,2.0,41,252,31.3,NO
pt_250_10_keyFix_2_3_dorianGray.txt,FIXED,3.0,60,252,40.5,NO
pt_250_10_keyFix_3_4_dorianGray.txt,FIXED,4.0,71,252,40.9,NO
pt_250_10_keyFix_4_5_dorianGray.txt,FIXED,5.0,84,252,15.5,NO
pt_250_1_keyFix_1_2_dorianGray.txt,FIXED,2.0,44,250,52.4,NO
pt_250_1_keyFix_2_3_dorianGray.txt,FIXED,3.0,62,250,22.8,NO
pt_250_1_keyFix_3_4_dorianGray.txt,FIXED,4.0,75,250,26.8,NO
pt_250_1_keyFix_4_5_dorianGray.txt,FIXED,5.0,88,250,15.2,NO
pt_250_2_keyFix_1_2_dorianGray.txt,FIXED,2.0,43,250,66.0,NO
pt_250_2_keyFix_2_3_dorianGray.txt,FIXED,3.0,59,250,48.0,NO
pt_250_2_keyFix_3_4_dorianGray.txt,FIXED,4.0,75,250,46.4,NO
pt_250_2_keyFix_4_5_dorianGray.txt,FIXED,5.0,90,250,43.2,NO
pt_250_3_keyFix_1_2_dorianGray.txt,FIXED,2.0,42,253,42.7,NO
pt_250_3_keyFix_2_3_dorianGray.txt,FIXED,3.0,61,253,41.1,NO
pt_250_3_keyFix_3_4_dorianGray.txt,FIXED,4.0,76,253,38.7,NO
pt_250_3_keyFix_4_5_dorianGray.txt,FIXED,5.0,84,253,33.6,NO
pt_250_4_keyFix_1_2_dorianGray.txt,FIXED,2.0,40,254,52.8,NO
pt_250_4_keyFix_2_3_dorianGray.txt,FIXED,3.0,58,254,44.1,NO
pt_250_4_keyFix_3_4_dorianGray.txt,FIXED,4.0,70,254,40.6,NO
pt_250_4_keyFix_4_5_dorianGray.txt,FIXED,5.0,88,254,18.9,NO
pt_250_5_keyFix_1_2_dorianGray.txt,FIXED,2.0,42,250,46.0,NO
pt_250_5_keyFix_2_3_dorianGray.txt,FIXED,3.0,59,250,44.0,NO
pt_250_5_keyFix_3_4_dorianGray.txt,FIXED,4.0,76,250,44.4,NO
pt_250_5_keyFix_4_5_dorianGray.txt,FIXED,5.0,86,250,36.0,NO
pt_250_6_keyFix_1_2_dorianGray.txt,FIXED,2.0,42,253,49.4,NO
pt_250_6_keyFix_2_3_dorianGray.txt,FIXED,3.0,60,253,39.9,NO
pt_250_6_keyFix_3_4_dorianGray.txt,FIXED,4.0,72,253,30.0,NO
pt_250_6_keyFix_4_5_dorianGray.txt,FIXED,5.0,89,253,22.9,NO
pt_250_7_keyFix_1_2_dorianGray.txt,FIXED,2.0,39,255,78.0,NO
pt_250_7_keyFix_2_3_dorianGray.txt,FIXED,3.0,58,255,40.4,NO
pt_250_7_keyFix_3_4_dorianGray.txt,FIXED,4.0,74,255,24.3,NO
pt_250_7_keyFix_4_5_dorianGray.txt,FIXED,5.0,84,255,42.7,NO
pt_250_8_keyFix_1_2_dorianGray.txt,FIXED,2.0,42,251,59.4,NO
pt_250_8_keyFix_2_3_dorianGray.txt,FIXED,3.0,56,251,45.0,NO
pt_250_8_keyFix_3_4_dorianGray.txt,FIXED,4.0,74,251,33.9,NO
pt_250_8_keyFix_4_5_dorianGray.txt,FIXED,5.0,84,251,23.1,NO
pt_250_9_keyFix_1_2_dorianGray.txt,FIXED,2.0,41,254,67.3,NO
pt_250_9_keyFix_2_3_dorianGray.txt,FIXED,3.0,58,254,35.8,NO
